token,count
the,18
a,6
and,5
data,4
team,4
to,4
each,3
model,3
result,3
baseline,2
clear,2
from,2
meeting,2
report,2
review,2
reviewer,2
simple,2
small,2
tests,2
training,2
accuracy,1
added,1
after,1
agreed,1
analysis,1
are,1
asked,1
assumptions,1
before,1
but,1
can,1
changed,1
check,1
checked,1
claim,1
clean,1
code,1
compare,1
compared,1
corrected,1
counts,1
cross,1
decisions,1
document,1
don't,1
easier,1
easy,1
evaluation,1
every,1
evidence,1
exactly,1
experiments,1
explanation,1
failed,1
file,1
first,1
focus,1
focused,1
for,1
frequent,1
helped,1
hide,1
improved,1
in,1
interpret,1
its,1
keep,1
keeps,1
kept,1
labels,1
links,1
longer,1
made,1
match,1
matters,1
missing,1
next,1
not,1
note,1
notes,1
of,1
on,1
or,1
original,1
output,1
outputs,1
project,1
record,1
recorded,1
records,1
reliable,1
remained,1
repeatable,1
reported,1
reproduce,1
research,1
results,1
reveal,1
reviewer's,1
sample,1
saved,1
separate,1
settings,1
should,1
split,1
still,1
supports,1
test,1
text,1
three,1
today's,1
token,1
tokenizer,1
total,1
train,1
two,1
unusual,1
useful,1
validation,1
values,1
version,1
visible,1
when,1
will,1
with,1
words,1
